,amount,duration,payments,status,avg_balance_3M_befroe_loan,avg_balance_1M_befroe_loan,trans_freq,min_balance_befroe_loan,avg_amount_trans_before_loan,avg_balance_before_loan,times_balance_below_500,times_balance_below_5K,frequency,order_amount_LEASING,order_amount_No_symbol,order_amount_POJISTNE,order_amount_SIPO,order_amount_UVER,type,age,sex,A1,A4,A5,A6,A7,A8,A9,A10,A11,A13,A14,A16,amount_POJISTNE,amount_SANKC. UROK,amount_SIPO,amount_SLUZBY,amount_UROK,amount_UVER,amount_k_symbol_missing,balance_POJISTNE,balance_SANKC. UROK,balance_SIPO,balance_SLUZBY,balance_UROK,balance_UVER,balance_k_symbol_missing,years_of_loan,years_of_account,years_card_issued,age_bin
10,21924,36,609.0,0,36219.47647058823,38676.02857142857,45,1100.0,5957.544444444445,34272.21333333333,0.0,0.0,30,0.0,0.0,0.0,6262.0,609.0,0.0,39,1,55,157042,49,70,18,0,9,33.9,8743,2.43,111,3894,0.0,0.0,1647.8947368421052,3.8421052631578947,58.421052631578945,0.0,0.0,0.0,0.0,10746.884210526316,8015.089473684211,14445.178947368422,0.0,0.0,6,6,0,35
11,79608,24,3317.0,0,80878.28333333334,82711.15714285713,53,800.0,17600.35849056604,69954.5716981132,0.0,0.0,30,0.0,0.0,0.0,0.0,3317.0,0.0,29,1,44,105606,77,26,7,2,7,53.0,8254,3.76,97,2325,0.0,0.0,0.0,5.475,179.275,0.0,0.0,0.0,0.0,0.0,28011.90625,44782.1625,0.0,0.0,6,6,0,25
12,464520,60,7742.0,1,43137.35555555556,62808.846153846156,68,200.0,13335.798529411766,51760.01617647059,0.0,0.0,7,0.0,0.0,0.0,0.0,7741.8,0.0,59,0,77,148545,8,35,12,3,4,53.5,8909,5.56,113,3590,0.0,0.0,0.0,13.125,109.33125,0.0,0.0,0.0,0.0,0.0,21409.6625,27223.63125,0.0,0.0,6,6,0,50
13,95400,36,2650.0,0,42844.42105263158,24198.333333333332,47,200.0,10370.702127659575,41562.323404255316,0.0,3.0,7,0.0,0.0,0.0,0.0,2650.2,0.0,28,1,5,95616,65,30,4,1,6,51.4,9307,4.43,118,3040,0.0,0.0,0.0,12.0,93.06666666666666,0.0,0.0,0.0,0.0,0.0,14006.880000000001,26301.54666666667,0.0,0.0,6,6,0,25
14,93888,36,2608.0,0,43078.65714285714,39820.9,19,600.0,7121.915789473684,37510.494736842105,0.0,0.0,1,0.0,0.0,0.0,10723.0,2608.2,0.0,49,0,63,86513,38,36,5,1,5,50.5,8288,4.52,110,1460,0.0,0.0,0.0,16.666666666666668,128.56666666666666,0.0,0.0,0.0,0.0,0.0,7786.05,33730.5,0.0,0.0,6,6,0,45
15,47016,12,3918.0,0,69408.84583333334,66679.3090909091,42,200.0,12252.22380952381,60382.08571428571,0.0,0.0,1,0.0,0.0,0.0,14581.0,3918.2,0.0,42,0,46,112709,48,20,7,3,10,73.5,8369,2.31,117,2618,0.0,0.0,3645.25,25.0,92.775,0.0,0.0,0.0,0.0,16523.475,19020.7875,27853.4375,0.0,0.0,6,6,0,35
16,259740,60,4329.0,0,54402.88181818181,61234.7,17,800.0,13038.088235294117,45198.15294117647,0.0,0.0,30,0.0,0.0,0.0,12414.0,4328.8,0.0,20,1,68,228848,15,40,18,2,6,57.2,9893,4.72,96,5887,0.0,0.0,2482.8,0.0,156.3,0.0,0.0,0.0,0.0,13443.9,0.0,34413.64,0.0,0.0,6,6,0,20
17,38148,12,3179.0,0,41406.25263157895,36175.65555555556,29,900.0,8369.555172413793,37462.09310344827,0.0,0.0,30,0.0,621.0,9115.0,4697.0,3179.0,0.0,34,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,1215.3333333333333,0.0,313.1333333333333,0.9733333333333333,53.03333333333333,0.0,41.4,6193.493333333333,0.0,1650.3866666666665,2383.52,23121.02,0.0,1608.9866666666667,6,6,0,25
18,86616,12,7218.0,0,29641.558333333334,36958.9,15,800.0,5323.546666666666,25714.04666666667,0.0,0.0,30,0.0,2276.0,0.0,2239.0,7218.0,0.0,38,1,11,75637,35,36,9,0,7,36.5,9622,0.59,154,3529,0.0,0.0,0.0,0.0,62.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,24451.55,0.0,0.0,6,6,0,35
19,75624,24,3151.0,1,55333.049999999996,57562.0,23,400.0,13406.739130434782,50009.90869565217,0.0,0.0,30,0.0,0.0,0.0,0.0,3151.3,0.0,41,1,54,387570,0,0,0,1,1,100.0,9897,1.96,140,18696,0.0,0.0,1350.0,0.0,177.7,0.0,0.0,0.0,0.0,4195.4800000000005,0.0,45769.340000000004,0.0,0.0,6,6,0,35
20,80952,24,3373.0,0,31120.47272727273,32018.009090909094,54,1100.0,7954.257407407408,32590.624074074072,0.0,0.0,30,0.0,0.0,0.0,7266.0,3372.7,0.0,54,1,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,0.0,0.0,1730.0,4.171428571428571,61.39523809523809,0.0,0.0,0.0,0.0,5102.857142857143,8349.076190476191,15110.842857142858,0.0,0.0,5,6,0,50
21,80952,24,3373.0,0,33577.45652173913,35816.975,54,1100.0,7937.75,33312.53888888889,0.0,0.0,30,0.0,0.0,0.0,7266.0,3372.7,0.0,54,1,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,0.0,0.0,1730.0,4.171428571428571,61.80476190476191,0.0,0.0,0.0,0.0,5111.033333333333,8390.990476190476,15152.757142857145,0.0,0.0,5,6,0,50
22,24516,12,2043.0,0,69396.84516129033,63994.55714285715,73,200.0,16201.55890410959,55582.22602739726,2.0,3.0,30,0.0,0.0,0.0,0.0,2043.0,0.0,41,1,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,0.0,0.0,0.0,6.488888888888889,98.38888888888889,0.0,0.0,0.0,0.0,0.0,22297.394444444442,26834.199999999997,0.0,0.0,5,6,0,35
23,253200,60,4220.0,0,35688.39473684211,47907.18888888889,41,800.0,11912.358536585367,47302.546341463414,0.0,0.0,7,0.0,0.0,0.0,0.0,4219.5,0.0,49,0,52,139012,59,41,8,3,10,61.9,8363,3.49,108,2799,0.0,0.0,0.0,11.538461538461538,131.8230769230769,0.0,0.0,0.0,0.0,0.0,14744.676923076922,30619.82307692308,0.0,0.0,5,6,0,45
24,21072,24,878.0,0,24937.608333333334,29544.075,15,1100.0,3164.4733333333334,21575.686666666665,0.0,0.0,30,0.0,3833.0,0.0,495.0,878.0,0.0,35,0,17,74062,99,15,4,2,7,61.4,8114,2.62,119,1181,0.0,0.0,0.0,0.0,75.51666666666667,0.0,0.0,0.0,0.0,0.0,0.0,21798.083333333332,0.0,0.0,5,6,0,35
25,108144,36,3004.0,0,43952.18333333333,46741.02857142857,55,900.0,13671.42909090909,54652.89818181818,0.0,0.0,30,0.0,0.0,0.0,4736.0,3004.5,0.0,36,0,59,108871,41,29,7,2,6,62.1,8444,3.47,106,2305,0.0,0.0,1420.8,4.38,80.2,0.0,0.0,0.0,0.0,15477.794999999998,15457.444999999998,21650.079999999998,0.0,0.0,5,6,0,35
26,78936,12,6578.0,0,24961.430769230767,26213.007692307692,51,900.0,3259.0,25900.31960784314,0.0,0.0,30,0.0,1187.0,0.0,2359.0,6578.0,0.0,42,0,31,51313,34,12,3,1,4,59.2,8930,4.2,108,1452,0.0,0.0,410.2608695652174,3.1739130434782608,43.30434782608695,0.0,258.04347826086956,0.0,0.0,3774.0,5642.347826086957,10389.395652173913,0.0,5519.086956521739,5,6,0,35
27,149040,48,3105.0,0,36151.26774193549,35282.75882352941,54,200.0,6682.029629629629,36845.58888888889,0.0,0.0,30,0.0,0.0,0.0,4397.0,3105.2,0.0,31,0,11,75637,35,36,9,0,7,36.5,9622,0.59,154,3529,0.0,0.0,1157.1052631578948,3.8421052631578947,64.34736842105262,0.0,0.0,0.0,0.0,11922.768421052631,8056.289473684211,15496.72105263158,0.0,0.0,5,6,0,25
28,49320,12,4110.0,1,44874.8064516129,40374.653846153844,49,900.0,10548.359183673469,46576.27755102041,0.0,0.0,1,0.0,11567.0,0.0,695.0,4110.0,0.0,54,0,24,122603,25,21,6,2,8,80.0,8991,2.01,128,5273,0.0,0.0,173.75,25.0,48.230000000000004,0.0,2891.75,0.0,0.0,9223.925,12802.725,13012.725,0.0,8296.075,5,6,0,50
29,197748,36,5493.0,0,54845.4,53633.5,16,300.0,14293.4125,44735.43125,0.0,0.0,30,0.0,0.0,0.0,7517.0,5493.0,0.0,29,0,13,53921,61,22,1,1,2,41.3,8598,3.26,123,1875,0.0,0.0,0.0,0.0,150.65,0.0,0.0,0.0,0.0,0.0,0.0,40890.7,0.0,0.0,5,6,0,25
30,300660,60,5011.0,0,31419.70625,42385.83571428571,66,800.0,10342.530303030304,45854.89090909091,0.0,0.0,30,0.0,1167.0,958.0,5791.0,5011.2,0.0,49,1,40,128118,9,16,6,3,8,85.3,9317,7.07,97,6872,165.17241379310346,0.0,998.448275862069,2.5172413793103448,44.62068965517241,0.0,201.20689655172413,8874.503448275862,0.0,7646.1586206896545,5733.262068965518,9973.906896551724,0.0,7231.1586206896545,5,6,0,45
31,182628,36,5073.0,0,41278.25555555555,39546.42,13,500.0,8281.607692307693,33229.10769230769,0.0,0.0,30,0.0,0.0,0.0,3264.0,5073.0,0.0,40,1,75,138032,67,30,4,2,5,64.6,8819,5.66,99,4505,0.0,0.0,0.0,0.0,137.475,0.0,0.0,0.0,0.0,0.0,0.0,36070.6,0.0,0.0,5,6,0,35
32,91632,12,7636.0,0,41800.88,44620.89090909091,70,700.0,6304.105714285714,40976.94285714286,0.0,0.0,30,0.0,0.0,0.0,3532.0,7636.0,0.0,37,0,52,139012,59,41,8,3,10,61.9,8363,3.49,108,2799,0.0,0.0,1009.1428571428571,4.171428571428572,73.87857142857142,0.0,0.0,0.0,0.0,13671.096428571429,11768.492857142857,18002.467857142856,0.0,0.0,5,6,0,35
33,51696,24,2154.0,0,49007.52903225806,51704.14166666666,102,600.0,13901.269607843138,58226.50490196078,0.0,0.0,30,0.0,0.0,0.0,0.0,2153.8,1.0,31,0,74,323870,0,0,0,1,1,100.0,10673,5.44,100,18347,0.0,0.0,0.0,6.691666666666666,120.49583333333334,0.0,0.0,0.0,0.0,0.0,26485.912500000002,31783.8125,0.0,0.0,5,6,6,25
34,55368,24,2307.0,0,23065.258620689656,19049.955555555556,98,200.0,8702.475510204082,46061.3193877551,0.0,7.0,30,0.0,0.0,0.0,0.0,2306.8,0.0,60,0,64,197099,29,41,10,2,10,74.7,9624,2.31,145,4265,0.0,0.0,0.0,4.5625,113.05,0.0,0.0,0.0,0.0,0.0,14699.70625,32085.290625,0.0,0.0,5,6,0,50
35,91200,24,3800.0,0,28178.886363636364,23944.64285714286,36,700.0,9999.522222222222,32558.533333333333,0.0,0.0,30,0.0,0.0,0.0,10279.0,3799.8,0.0,44,0,39,119895,17,4,3,2,4,89.9,10446,9.4,90,4743,0.0,0.0,2372.076923076923,3.369230769230769,66.0,0.0,0.0,0.0,0.0,2591.8307692307694,6637.0615384615385,17558.90769230769,0.0,0.0,5,6,0,35
36,7656,24,319.0,0,46549.31052631579,47932.11111111111,81,600.0,6436.60987654321,46444.63950617284,0.0,0.0,30,0.0,0.0,0.0,3708.0,319.0,0.0,37,0,48,78955,50,24,8,1,9,59.0,9060,2.44,124,1717,0.0,0.0,801.7297297297297,2.7621621621621624,89.87027027027027,0.0,0.0,0.0,0.0,12643.15945945946,7899.335135135136,23367.283783783783,0.0,0.0,5,6,0,35
37,212400,36,5900.0,0,57903.48,61699.4,71,300.0,11301.566197183098,51034.361971830986,0.0,0.0,7,0.0,0.0,0.0,0.0,5900.0,0.0,33,0,38,85852,41,23,4,2,4,59.8,8965,8.23,104,2822,0.0,0.0,0.0,12.857142857142858,105.67619047619047,0.0,0.0,0.0,0.0,0.0,20288.22857142857,28870.257142857143,0.0,0.0,5,6,0,25
38,167100,60,2785.0,0,60297.690625,65049.69285714285,79,1100.0,14332.407594936709,63707.626582278484,0.0,0.0,30,0.0,0.0,0.0,0.0,2784.8,1.0,29,0,62,145688,22,41,13,2,5,40.7,8544,1.86,109,2906,0.0,0.0,0.0,6.9523809523809526,137.81904761904764,0.0,0.0,0.0,0.0,0.0,35046.20952380953,35117.65714285715,0.0,0.0,5,6,1,25
39,149340,60,2489.0,0,23382.776923076926,25338.076923076922,56,500.0,5778.791071428571,29069.116071428572,0.0,0.0,7,0.0,0.0,0.0,8754.0,2489.3,0.0,36,1,44,105606,77,26,7,2,7,53.0,8254,3.76,97,2325,0.0,0.0,2387.4545454545455,8.181818181818182,49.059090909090905,0.0,0.0,0.0,0.0,7782.422727272727,6622.477272727273,12239.195454545454,0.0,0.0,5,6,0,35
40,65184,12,5432.0,0,41994.68518518518,45751.458333333336,82,900.0,11972.676829268292,47426.55,0.0,0.0,30,0.0,0.0,0.0,0.0,5432.3,2.0,42,1,3,75232,55,26,4,1,5,41.7,8980,2.21,111,2813,0.0,0.0,0.0,6.083333333333333,103.0625,0.0,0.0,0.0,0.0,0.0,16203.095833333333,23467.066666666666,0.0,0.0,5,6,2,35
41,215388,36,5983.0,1,32258.212499999998,30593.15,15,1000.0,6110.86,32702.726666666666,0.0,0.0,30,0.0,0.0,0.0,0.0,5983.0,0.0,40,1,39,119895,17,4,3,2,4,89.9,10446,9.4,90,4743,0.0,0.0,0.0,0.0,98.98571428571428,0.0,0.0,0.0,0.0,0.0,0.0,33834.142857142855,0.0,0.0,5,6,0,35
42,89040,60,1484.0,0,27279.557575757575,30110.342105263157,87,800.0,3441.2045977011494,30045.399999999998,0.0,0.0,30,0.0,0.0,0.0,7041.0,1484.0,0.0,29,0,77,148545,8,35,12,3,4,53.5,8909,5.56,113,3590,0.0,0.0,1309.953488372093,3.0558139534883724,69.24186046511628,0.0,0.0,0.0,0.0,4189.362790697674,6844.102325581396,19778.988372093023,0.0,0.0,5,6,0,25
43,193968,36,5388.0,0,74280.93636363637,77925.27333333335,29,800.0,16951.03448275862,63579.21724137931,0.0,0.0,1,0.0,0.0,0.0,0.0,5388.5,0.0,27,1,72,226122,32,50,7,4,4,62.6,8994,4.79,110,9208,0.0,0.0,0.0,11.11111111111111,172.66666666666666,0.0,0.0,0.0,0.0,0.0,9205.777777777777,48134.833333333336,0.0,0.0,5,6,0,25
44,24312,12,2026.0,0,30802.852380952383,30870.511111111107,78,1100.0,4949.474358974359,29380.839743589742,0.0,0.0,30,0.0,0.0,0.0,0.0,2025.7,0.0,44,0,16,93931,74,21,10,1,8,56.9,8427,1.54,107,1913,0.0,0.0,0.0,6.176923076923076,72.93846153846154,0.0,0.0,0.0,0.0,0.0,12078.623076923077,16108.242307692308,0.0,0.0,5,6,0,35
45,272520,60,4542.0,0,43424.712,41771.94666666666,84,1100.0,10778.345238095239,44602.64166666666,0.0,0.0,30,0.0,0.0,0.0,5907.0,4542.0,0.0,60,1,10,92084,55,29,4,3,5,46.7,10124,0.54,141,4316,0.0,0.0,1969.0,4.38,57.35333333333334,0.0,0.0,0.0,0.0,13090.1,9846.866666666667,14145.756666666666,0.0,0.0,5,6,0,50
46,80340,12,6695.0,0,66632.90588235293,70868.04444444444,52,1100.0,15464.398076923077,61531.59038461539,0.0,0.0,30,0.0,0.0,0.0,0.0,6695.0,0.0,23,0,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,0.0,0.0,0.0,5.214285714285714,187.54999999999998,0.0,0.0,0.0,0.0,0.0,20801.028571428575,44085.37857142858,0.0,0.0,5,6,4,20
47,97632,12,8136.0,0,53557.59259259259,50993.472727272725,65,1100.0,15218.433846153845,53379.12769230769,0.0,0.0,30,0.0,5915.0,0.0,6531.0,8136.0,0.0,31,0,21,103347,87,16,7,1,7,67.0,9104,2.07,123,2354,0.0,0.0,1507.1538461538462,2.8076923076923075,61.39230769230768,0.0,1365.0,0.0,0.0,15364.33076923077,6099.173076923077,13925.638461538461,0.0,13645.484615384614,5,6,0,25
48,196080,48,4085.0,0,46416.221052631576,58773.88888888889,47,900.0,10472.497872340426,49143.96595744681,0.0,0.0,30,0.0,0.0,0.0,0.0,4085.0,0.0,41,1,23,87419,21,11,4,3,9,85.5,8624,2.66,102,3198,0.0,0.0,0.0,6.083333333333333,112.86666666666667,0.0,0.0,0.0,0.0,0.0,17936.7,32213.291666666668,0.0,0.0,5,6,0,35
49,76908,12,6409.0,1,48022.00666666667,45030.575000000004,102,1100.0,12928.499019607842,52890.40392156863,0.0,0.0,30,0.0,0.0,0.0,0.0,6408.8,0.0,53,0,4,149893,63,29,6,2,6,67.4,9753,5.05,109,5892,0.0,0.0,0.0,6.257142857142857,111.73928571428571,0.0,0.0,0.0,0.0,0.0,20231.739285714284,26767.350000000002,0.0,0.0,5,6,0,50
50,63312,48,1319.0,0,23918.52,24794.25,82,500.0,2011.2317073170732,22551.77926829268,0.0,2.0,30,0.0,471.0,0.0,2306.0,1319.0,0.0,43,0,31,51313,34,12,3,1,4,59.2,8930,4.2,108,1452,0.0,0.0,498.5945945945946,3.1567567567567565,30.08648648648649,0.0,114.56756756756756,0.0,0.0,4315.421621621622,5016.718918918919,7576.291891891891,0.0,5772.002702702703,5,6,0,35
51,25944,24,1081.0,0,54059.89047619047,47090.37692307692,37,600.0,10704.751351351351,56927.45405405405,0.0,0.0,30,0.0,0.0,0.0,0.0,1081.0,1.0,39,0,41,118650,8,8,5,1,3,85.6,9832,4.48,114,5471,0.0,0.0,0.0,4.866666666666666,158.65833333333333,0.0,0.0,0.0,0.0,0.0,21695.991666666665,39900.174999999996,0.0,0.0,5,6,2,35
52,104808,12,8734.0,0,41839.68571428572,39604.57,30,500.0,6642.553333333333,38709.829999999994,0.0,0.0,30,0.0,808.5,735.0,6256.0,8734.0,0.0,60,1,66,125832,151,41,2,3,5,48.3,8512,4.12,102,2103,105.0,0.0,893.7142857142857,1.042857142857143,43.642857142857146,0.0,231.0,6657.6214285714295,0.0,6762.6214285714295,2457.8857142857146,12396.757142857143,0.0,12428.67142857143,5,6,0,50
53,208320,48,4340.0,0,54144.59090909091,51864.43333333333,85,200.0,9434.437647058823,43944.88941176471,0.0,0.0,7,0.0,0.0,0.0,0.0,4340.0,0.0,31,0,31,51313,34,12,3,1,4,59.2,8930,4.2,108,1452,0.0,0.0,0.0,12.692307692307692,108.27692307692307,0.0,0.0,0.0,0.0,0.0,17336.053846153845,23546.503846153846,0.0,0.0,5,6,0,25
54,151560,24,6315.0,0,54678.98888888889,40866.955555555556,28,300.0,16935.553571428572,53976.29285714286,0.0,0.0,30,0.0,0.0,0.0,10134.0,6315.0,2.0,46,1,66,125832,151,41,2,3,5,48.3,8512,4.12,102,2103,0.0,0.0,1126.0,3.2444444444444445,130.47777777777776,0.0,0.0,0.0,0.0,4019.1555555555556,9291.400000000001,32758.533333333333,0.0,0.0,5,6,1,45
55,52128,24,2172.0,0,37712.987499999996,49173.17142857143,71,144.2,6031.725352112676,33459.68028169014,8.0,11.0,30,0.0,0.0,0.0,0.0,2172.0,1.0,40,0,11,75637,35,36,9,0,7,36.5,9622,0.59,154,3529,0.0,0.04864864864864865,0.0,1.972972972972973,91.64054054054054,0.0,0.0,0.0,2738.681081081081,0.0,4594.310810810811,27745.372972972975,0.0,0.0,5,6,4,35
56,300204,36,8339.0,0,32184.13181818182,34236.2,71,300.0,6578.1183098591555,34084.460563380286,0.0,0.0,30,0.0,0.0,0.0,0.0,8339.0,0.0,35,1,57,161954,21,37,20,3,8,48.0,8720,4.5,116,3651,0.0,0.0,1635.7142857142858,4.171428571428572,66.41428571428571,0.0,0.0,0.0,0.0,9016.878571428571,9707.564285714285,16160.846428571429,0.0,0.0,5,6,0,35
57,77640,12,6470.0,0,62304.600000000006,54700.674999999996,60,700.0,13255.798333333334,55570.305,0.0,0.0,7,0.0,0.0,0.0,0.0,6469.7,0.0,32,1,27,67298,71,19,10,0,7,43.8,8561,1.29,110,1127,0.0,0.0,0.0,11.25,168.61875,0.0,0.0,0.0,0.0,0.0,21137.025,37911.65625,0.0,0.0,5,6,0,25
58,87216,48,1817.0,1,30873.48,25607.6625,33,200.0,4041.378787878788,28362.248484848486,0.0,0.0,30,0.0,0.0,0.0,0.0,1817.3,0.0,35,1,15,58796,22,16,7,1,5,51.9,9045,3.6,124,1879,0.0,0.0,631.25,1.825,78.26875,0.0,0.0,0.0,0.0,3570.1875,3446.71875,20800.34375,0.0,0.0,5,6,0,35
59,87360,24,3640.0,0,40548.22666666667,34287.47142857143,30,200.0,8145.613333333333,36783.95,0.0,0.0,30,0.0,0.0,0.0,0.0,3639.5,1.0,37,1,38,85852,41,23,4,2,4,59.8,8965,8.23,104,2822,0.0,0.0,0.0,2.433333333333333,132.01666666666668,0.0,0.0,0.0,0.0,0.0,5507.691666666667,30058.50833333333,0.0,0.0,5,6,1,35
60,69360,48,1445.0,0,34636.97352941177,34843.0,78,1100.0,4748.167948717948,33857.106410256405,0.0,0.0,30,0.0,0.0,0.0,0.0,1445.0,0.0,58,1,46,112709,48,20,7,3,10,73.5,8369,2.31,117,2618,0.0,0.0,0.0,6.083333333333333,75.21249999999999,0.0,0.0,0.0,0.0,0.0,13237.25,17843.058333333334,0.0,0.0,5,6,0,50
61,288360,60,4806.0,0,36813.066666666666,41854.325,10,800.0,8585.039999999999,33211.759999999995,0.0,0.0,1,0.0,0.0,0.0,0.0,4806.5,0.0,64,1,1,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,0.0,0.0,0.0,0.0,44.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,37377.5,0.0,0.0,5,5,0,50
62,174744,24,7281.0,1,14350.136666666665,16891.36666666667,118,-1369.2,7375.627966101695,26252.81440677966,9.0,17.0,30,0.0,2070.0,1017.0,8110.0,7281.3,0.0,21,0,5,95616,65,30,4,1,6,51.4,9307,4.43,118,3040,192.40540540540542,0.016216216216216217,1534.3243243243244,2.7621621621621624,22.06081081081081,0.0,391.6216216216216,3424.7324324324327,588.1783783783783,3120.3675675675677,5139.3,5718.651351351352,0.0,3829.286486486487,5,6,1,20
63,239460,60,3991.0,0,36030.956,36995.13636363636,46,300.0,9689.68043478261,40061.580434782605,0.0,0.0,30,0.0,6745.0,0.0,4206.0,3990.8,0.0,57,0,68,228848,15,40,18,2,6,57.2,9893,4.72,96,5887,0.0,0.0,841.2,2.92,61.595000000000006,0.0,1349.0,0.0,0.0,6661.12,7502.32,15329.3,0.0,5312.12,5,6,0,50
64,91584,24,3816.0,0,53089.3,56637.54285714286,31,1000.0,15002.81935483871,50765.41612903226,0.0,0.0,30,0.0,0.0,0.0,0.0,3816.0,0.0,48,0,33,133777,24,17,7,3,11,84.7,8705,7.61,116,4859,0.0,0.0,0.0,3.65,121.025,0.0,0.0,0.0,0.0,0.0,8921.525000000001,31666.162500000002,0.0,0.0,5,6,0,45
